Remark,Week dates,measurement week,Treatment,Season,CO2flux,CH4flux,mgCH4,averageTemp,MeanSoilMoisture,MEANpH,meanGCC,canopyheight,CanopyExtentEstimate,EvapotranspirationRate,buds,bursts
4,July 10 - July 16,9,Control,Autumn / extended summer,1.655950391,-3.36E-08,-4.65E-05,4.75,8.2,7,0.342697166,25.1,0.1,1,0,0
5,July 10 - July 16,9,Control,Autumn / extended summer,1.114268832,-4.61E-08,-6.39E-05,4.75,9.95,6.95,0.323790698,18.6,0.21,0.8,0,0
6,July 10 - July 16,9,Extended,Autumn / extended summer,2.30280469,1.60E-08,2.22E-05,10,9.55,7.05,0.338585893,15.9,0.32,1.2,0,0
7,July 10 - July 16,9,Extended,Autumn / extended summer,3.663465737,3.87E-08,5.37E-05,10,7.6,7.1,0.346132813,52.3,0.41,1.4,0,0
8,July 10 - July 16,9,Extended,Autumn / extended summer,2.516545038,-1.82E-08,-2.52E-05,10,8.15,6.9,0.352657121,41.1,0.57,1.4,0,0
9,July 10 - July 16,9,Control,Autumn / extended summer,1.226803153,-5.52E-08,-7.65E-05,4.75,9,7.25,0.352657121,11.8,0.67,0.8,0,0
10,July 10 - July 16,9,Extended,Autumn / extended summer,1.906209555,-4.54E-08,-6.29E-05,10,8.15,7.65,0.332302981,27.7,0.71,1.4,0,0
11,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.93737434,-4.41E-08,-6.12E-05,4.75,9.45,7.05,0.332532895,41.8,0.67,1,0,0
12,July 10 - July 16,9,Heatwave,Autumn / extended summer,2.036064742,-4.77E-08,-6.61E-05,4.75,9.55,7.2,0.361476528,24.6,0.64,0.8,0,0
13,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.893850637,-4.33E-08,-6.00E-05,4.75,7.6,7.3,0.341087796,32.3,0.59,0.8,0,0
14,July 10 - July 16,9,Control,Autumn / extended summer,2.040642976,-5.11E-08,-7.08E-05,4.75,8.5,7.05,0.34415592,41.4,0.57,1.2,0,0
15,July 10 - July 16,9,Control,Autumn / extended summer,1.168546879,-6.16E-08,-8.53E-05,4.75,8.2,7.15,0.349623535,47.1,0.57,1,0,0
16,July 10 - July 16,9,Extended,Autumn / extended summer,1.245756101,9.42E-09,1.30E-05,10,9.45,7.1,0.321590615,36.4,0.03,1.2,0,0
17,July 10 - July 16,9,Control,Autumn / extended summer,1.395396024,-7.18E-08,-9.95E-05,4.75,9.95,6.95,0.32837137,19.7,0.02,1,0,0
18,July 10 - July 16,9,Extended,Autumn / extended summer,2.204635221,2.70E-09,3.75E-06,10,8.85,6.95,0.353258772,27.8,0.02,1.6,0,0
19,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.216622242,-6.39E-08,-8.86E-05,4.75,9.45,7.05,0.323340178,57.1,0.05,0.8,0,0
20,July 10 - July 16,9,Control,Autumn / extended summer,1.749515684,-3.65E-08,-5.06E-05,4.75,9.1,6.95,0.331127873,21.8,0.1,1.2,0,0
21,July 10 - July 16,9,Heatwave,Autumn / extended summer,1.607966569,-3.86E-08,-5.35E-05,4.75,8.6,7.1,0.342184634,30.9,0.1,1,0,0
1,July 16 -  July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.7,0.359186527,18.4,0.16,0.6,0,0
2,July 16 - July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.5,0.335402525,26.2,0.22,1,0,0
3,July 16 - July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,7,0.319896876,18.6,0.27,1,0,0
4,July 16 -  July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,,0.338965089,25.1,0.28,1,0,0
5,July 16 - July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.75,0.320056534,19.1,0.31,1,0,0
6,July 16 - July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.6,0.337549918,15.9,0.33,0.6,0,0
7,July 16 -  July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.85,0.342887292,49.7,0.42,1.6,0,0
8,July 16 - July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.8,0.35645522,40.9,0.52,0.6,0,0
9,July 16 - July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.9,0.322501925,11.6,0.57,1,0,0
10,July 16 -  July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.65,0.333989681,30.7,0.57,1.6,0,0
11,July 16 - July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.95,0.329617522,39.5,0.56,1,0,0
12,July 16 - July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.55,0.356327353,23.7,0.02,0.8,0,0
13,July 16 -  July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.8,0.340038569,32.5,0.02,1,0,0
14,July 16 - July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.95,0.342454871,40.7,0.02,1.2,0,0
15,July 16 - July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.9,0.346492896,47,0.07,1,0,0
16,July 16 -  July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.45,0.322451896,36.2,0.14,1.4,0,0
17,July 16 - July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.85,0.325864088,19.2,0.21,1,0,0
18,July 16 - July 23,10,Extended,Regular late autumn / warmer early autumn,NA,NA,NA,10,NA,6.6,0.3631243,28.9,0.25,1.6,0,0
19,July 16 -  July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.9,0.31803192,57.3,0.32,1.2,0,0
20,July 16 - July 23,10,Control,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,6.95,0.329241988,21.9,0.42,1.2,0,0
21,July 16 - July 23,10,Heatwave,Regular late autumn / warmer early autumn,NA,NA,NA,2.5,NA,7.15,0.34190542,30.7,0.44,1,0,0
1,July 23 - July 30,11,Extended,Regular late autumn / warmer early autumn,1.281279722,-6.95E-09,-9.63E-06,10,10,6.8,0.364941043,18.1,0.48,0.6,0,0
2,July 23 - July 30,11,Heatwave,Regular late autumn / warmer early autumn,0.927285025,-7.14E-09,-9.90E-06,0.5,9.9,7,0.33321251,25.7,0.47,1,0,0
3,July 23 - July 30,11,Heatwave,Regular late autumn / warmer early autumn,0.896214491,-2.51E-08,-3.48E-05,0.5,9.5,7,0.318811487,18.6,0.49,1,0,0
4,July 23 - July 30,11,Control,Regular late autumn / warmer early autumn,1.440285163,1.85E-10,2.57E-07,0.5,8.9,7.1,0.334461805,24.7,0.44,1,0,0
5,July 23 - July 30,11,Control,Regular late autumn / warmer early autumn,0.849082034,9.15E-09,1.27E-05,0.5,9.65,7.15,0.318578292,18.7,0.03,1,0,0
6,July 23 - July 30,11,Extended,Regular late autumn / warmer early autumn,1.60467809,-2.20E-09,-3.05E-06,10,10,6.55,0.344182222,15.7,0.03,0.6,0,0
7,July 23 - July 30,11,Extended,Regular late autumn / warmer early autumn,3.242930768,-8.28E-09,-1.15E-05,10,9.45,7.05,0.345773087,48.6,0.05,1.6,0,0
8,July 23 - July 30,11,Extended,Regular late autumn / warmer early autumn,1.682318783,-3.25E-08,-4.50E-05,10,10,6.5,0.364375017,29.1,0.13,0.6,0,0
9,July 23 - July 30,11,Control,Regular late autumn / warmer early autumn,0.996856085,1.64E-08,2.27E-05,0.5,9.45,7.05,0.323664046,11.4,0.24,1,0,0
10,July 23 - July 30,11,Extended,Regular late autumn / warmer early autumn,1.511597975,1.95E-09,2.71E-06,10,9,6.9,0.337685564,30.2,0.39,1.6,0,0
11,July 23 - July 30,11,Heatwave,Regular late autumn / warmer early autumn,1.815255427,-8.64E-09,-1.20E-05,0.5,9.45,6.9,0.327828087,39.9,0.48,1,0,0
12,July 23 - July 30,11,Heatwave,Regular late autumn / warmer early autumn,1.728260762,-7.60E-09,-1.05E-05,0.5,9.85,6.95,0.352120254,20.7,0.64,0.8,0,0
13,July 23 - July 30,11,Heatwave,Regular late autumn / warmer early autumn,1.162083188,-1.44E-08,-2.00E-05,0.5,8.95,6.9,0.335562864,32.9,0.68,1,0,0
14,July 23 - July 30,11,Control,Regular late autumn / warmer early autumn,2.112502056,-1.19E-08,-1.65E-05,0.5,9.5,6.9,0.341816432,39.3,0.92,1.2,0,0
15,July 23 - July 30,11,Control,Regular late autumn / warmer early autumn,1.313734042,1.00E-08,1.39E-05,0.5,9.25,6.8,0.343067422,46.4,0.97,1,0,0
16,July 23 - July 30,11,Extended,Regular late autumn / warmer early autumn,2.094848257,-6.27E-08,-8.69E-05,10,10,6.85,0.328390153,35.7,0.9,1.4,0,0
17,July 23 - July 30,11,Control,Regular late autumn / warmer early autumn,0.904182545,-1.83E-08,-2.53E-05,0.5,9.6,7,0.325215152,19.4,0.9,1,0,0
18,July 23 - July 30,11,Extended,Regular late autumn / warmer early autumn,3.009630826,5.28E-10,7.32E-07,10,9.65,6.8,0.376438376,30.9,0.96,1.6,0,0
19,July 23 - July 30,11,Heatwave,Regular late autumn / warmer early autumn,1.216655323,4.70E-08,6.51E-05,0.5,9.3,7.05,0.319049267,58.6,1.04,1.2,0,0
20,July 23 - July 30,11,Control,Regular late autumn / warmer early autumn,NA,NA,NA,0.5,NA,7.05,0.327343938,21.7,1.03,1.2,0,0
21,July 23 - July 30,11,Heatwave,Regular late autumn / warmer early autumn,1.46181695,2.24E-08,3.10E-05,0.5,8.8,7.2,0.340344065,31.2,0.01,1,0,0
1,July 30 - August 6,12,Extended,Regular late autumn (extended group only),NA,NA,NA,10,NA,6.95,0.366340789,18.5,0.04,1.2,0,0
2,July 30 - August 6,12,Heatwave,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.45,0.331862986,,0.06,14.4,0,0
3,July 30 - August 6,12,Heatwave,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.45,0.315123476,,0.11,14.8,0,0
4,July 30 - August 6,12,Control,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,6.95,0.325066516,,0.14,14.6,0,0
5,July 30 - August 6,12,Control,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.1,0.316305916,,0.23,15.2,0,0
6,July 30 - August 6,12,Extended,Regular late autumn (extended group only),NA,NA,NA,10,NA,6.9,0.342055031,16.7,0.27,1,0,0
7,July 30 - August 6,12,Extended,Regular late autumn (extended group only),NA,NA,NA,10,NA,7.45,0.346340537,49.6,0.38,1.4,0,0
8,July 30 - August 6,12,Extended,Regular late autumn (extended group only),NA,NA,NA,10,NA,7,0.368294171,29.2,0.54,1.2,0,0
9,July 30 - August 6,12,Control,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.2,0.31959723,,0.63,13.6,0,0
10,July 30 - August 6,12,Extended,Regular late autumn (extended group only),NA,NA,NA,10,NA,7.1,0.345540651,31.1,0.63,1,0,0
11,July 30 - August 6,12,Heatwave,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.5,0.324639236,,0.65,14.2,0,0
12,July 30 - August 6,12,Heatwave,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.45,0.345115927,,0.66,15.2,0,0
13,July 30 - August 6,12,Heatwave,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.15,0.328403782,,0.69,14.4,0,0
14,July 30 - August 6,12,Control,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.5,0.337037178,,0.74,14,0,0
15,July 30 - August 6,12,Control,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.3,0.332860116,,0.02,13,0,0
16,July 30 - August 6,12,Extended,Regular late autumn (extended group only),NA,NA,NA,10,NA,7.1,0.336482462,37.2,0.03,1.2,0,0
17,July 30 - August 6,12,Control,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.5,0.32322137,,0.11,13,0,0
18,July 30 - August 6,12,Extended,Regular late autumn (extended group only),NA,NA,NA,10,NA,7.15,0.384319818,34.6,0.19,1.4,0,0
19,July 30 - August 6,12,Heatwave,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.25,0.316805814,,0.32,13.4,0,0
20,July 30 - August 6,12,Control,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.35,0.322892534,,0.42,13.2,0,0
21,July 30 - August 6,12,Heatwave,Regular late autumn (extended group only),NA,NA,NA,-1.5,NA,7.35,0.337642868,,0.01,13.6,0,0
1,August 6 - August 13,13,Extended,Regular late autumn (extended group only),2.219362821,-5.72E-08,-7.93E-05,2.5,9.15,7.25,0.364778065,17.4,0.67,1,0,0
2,August 6 - August 13,13,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.7,,,
3,August 6 - August 13,13,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.72,,,
4,August 6 - August 13,13,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.8,,,
5,August 6 - August 13,13,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.74,,,
6,August 6 - August 13,13,Extended,Regular late autumn (extended group only),1.090188356,-1.11E-08,-1.54E-05,2.5,9.9,7.1,0.337443025,16.4,0.74,1.4,,
7,August 6 - August 13,13,Extended,Regular late autumn (extended group only),1.948602917,4.97E-09,6.89E-06,2.5,5.4,7.45,0.343846052,36.9,0.68,1.2,,
8,August 6 - August 13,13,Extended,Regular late autumn (extended group only),1.599779465,-3.86E-08,-5.35E-05,2.5,9,7.25,0.370019894,27.7,0.03,1.2,,
9,August 6 - August 13,13,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.02,,,
10,August 6 - August 13,13,Extended,Regular late autumn (extended group only),1.600802025,-2.67E-08,-3.70E-05,2.5,7.5,7.4,0.348646541,31.1,0.03,0.8,,
11,August 6 - August 13,13,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.11,,,
12,August 6 - August 13,13,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.23,,,
13,August 6 - August 13,13,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.38,,,
14,August 6 - August 13,13,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.46,,,
15,August 6 - August 13,13,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.69,,,
16,August 6 - August 13,13,Extended,Regular late autumn (extended group only),1.935896413,-6.55E-09,-9.08E-06,2.5,8.6,7.25,0.343330184,37.6,0.77,1,,
17,August 6 - August 13,13,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.8,,,
18,August 6 - August 13,13,Extended,Regular late autumn (extended group only),1.657561427,-1.14E-08,-1.58E-05,2.5,6.85,7.25,0.384799631,36.5,0.84,1,,
19,August 6 - August 13,13,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.86,,,
20,August 6 - August 13,13,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.45,,,
21,August 6 - August 13,13,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,0.08,,,
1,August 13 - August 20,14,Extended,Regular late autumn (extended group only),NA,NA,NA,0.5,NA,7,0.362021191,16.6,,1,,
2,August 13 - August 20,14,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
3,August 13 - August 20,14,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
4,August 13 - August 20,14,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
5,August 13 - August 20,14,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
6,August 13 - August 20,14,Extended,Regular late autumn (extended group only),NA,NA,NA,0.5,NA,7,0.336623035,14,,1.4,,
7,August 13 - August 20,14,Extended,Regular late autumn (extended group only),NA,NA,NA,0.5,NA,7.35,0.341550589,40.1,,1,,
8,August 13 - August 20,14,Extended,Regular late autumn (extended group only),NA,NA,NA,0.5,NA,7.05,0.368380852,29,,0.8,,
9,August 13 - August 20,14,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
10,August 13 - August 20,14,Extended,Regular late autumn (extended group only),NA,NA,NA,0.5,NA,7.05,0.348043263,31,,1,,
11,August 13 - August 20,14,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
12,August 13 - August 20,14,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
13,August 13 - August 20,14,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
14,August 13 - August 20,14,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
15,August 13 - August 20,14,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
16,August 13 - August 20,14,Extended,Regular late autumn (extended group only),NA,NA,NA,0.5,NA,7.25,0.344443693,36.3,,0.8,,
17,August 13 - August 20,14,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
18,August 13 - August 20,14,Extended,Regular late autumn (extended group only),NA,NA,NA,0.5,NA,7.25,0.381777981,36.7,,1,,
19,August 13 - August 20,14,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
20,August 13 - August 20,14,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
21,August 13 - August 20,14,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
1,August 20 - August 27,15,Extended,Regular late autumn (extended group only),0.8295137,-5.86E-08,-8.12E-05,-1.5,8.95,6.95,0.352274157,,,,,
2,August 20 - August 27,15,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
3,August 20 - August 27,15,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
4,August 20 - August 27,15,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
5,August 20 - August 27,15,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
6,August 20 - August 27,15,Extended,Regular late autumn (extended group only),0.563511274,1.85E-08,2.56E-05,-1.5,8.3,7.15,0.328969006,,,,,
7,August 20 - August 27,15,Extended,Regular late autumn (extended group only),0.607430114,-1.34E-08,-1.86E-05,-1.5,4.5,7.6,0.333092339,,,,,
8,August 20 - August 27,15,Extended,Regular late autumn (extended group only),0.968469101,8.52E-09,1.18E-05,-1.5,7.85,7.2,0.354750395,,,,,
9,August 20 - August 27,15,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
10,August 20 - August 27,15,Extended,Regular late autumn (extended group only),0.493529233,-9.53E-10,-1.32E-06,-1.5,6.1,7.25,0.341765185,,,,,
11,August 20 - August 27,15,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
12,August 20 - August 27,15,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
13,August 20 - August 27,15,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
14,August 20 - August 27,15,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
15,August 20 - August 27,15,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
16,August 20 - August 27,15,Extended,Regular late autumn (extended group only),1.07551267,-3.30E-09,-4.57E-06,-1.5,6.2,7.55,0.342179892,,,,,
17,August 20 - August 27,15,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
18,August 20 - August 27,15,Extended,Regular late autumn (extended group only),0.995349786,8.70E-09,1.21E-05,-1.5,4.95,7.05,0.36890581,,,,,
19,August 20 - August 27,15,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
20,August 20 - August 27,15,Control,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,
21,August 20 - August 27,15,Heatwave,Regular late autumn (extended group only),NA,NA,NA,NA,NA,NA,NA,,,,,